ID,Fight_Num,Event_Card,Event_Weight,Red_Event_fighter_image,Red_Fighter_Name,Red_Fighter_Nickname,Blue_Fighter_Name,Blue_Event_fighter_image,Blue_Fighter_Nickname
1,22, prelims, Featherweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2022-06/46d04662-d732-4838-81fa-63aa47776752%252FZHA_YI_L.png?itok=o4SSnxTS, Yi Zha, , Gabriel Santos, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-06/SANTOS_GABRIEL_R_06-24.png?itok=0XZQfGyx," ""Mosquitinho"""
1,23, prelims, Middleweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-03/PETROSKI_ANDRE_L_03-30.png?itok=7_z2ASJd, Andre Petroski, , Dylan Budka, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-03/BUDKA_DYLAN_R_09-05.png?itok=GYl57dWY," ""The Mindless Hulk """
2,24, None, Bantamweight Title Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-03/OMALLEY_SEAN_BELT_L_03-09.png?itok=sVbvi1Kh, Sean O'Malley," ""Suga""", Merab Dvalishvili, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-03/DVALISHVILI_MERAB_R_03-11.png?itok=Sr1AA60l," ""The Machine"""
2,25, None, Women's Flyweight Title Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-09/GRASSO_ALEXA_L_BELT_09-16.png?itok=EaYvjfXL, Alexa Grasso, , Valentina Shevchenko, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-09/SHEVCHENKO_VALENTINA_R_09-16.png?itok=cPvbIO-E," ""Bullet"""
2,26, None, Featherweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-06/ORTEGA_BRIAN_L_06-29.png?itok=YJjuioWs, Brian Ortega," ""T-City""", Diego Lopes, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-06/LOPES_DIEGO_R_06-29.png?itok=ETDct-ai, 
2,27, None, Bantamweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-02/ROSAS_JR_RAUL_L.png?itok=n2yRwqWe, Raul Rosas Jr.," ""El Nino Problema""", Aoriqileng, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-02/AORIQILENG_R_02-10.png?itok=oh9A7Yye," ""The Mongolian Murderer"""
2,28, None, Women's Bantamweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-12/ALDANA_IRENE_L_12-16.png?itok=Hx2QA8OV, Irene Aldana, , Norma Dumont, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-06/DUMONT_NORMA_R_04-06.png?itok=gqYi_qzi," ""The Immortal"""
2,29, None, Lightweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-02/TORRES_MANUEL_L_02-24.png?itok=iXEAn6nh, Manuel Torres," ""El Loco""", Ignacio Bahamondes, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-04/BAHAMONDES_IGNACIO_R_04-08.png?itok=8pDU8p6g," ""La Jaula"""
2,30, None, Flyweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-02/CHAIREZ_EDGAR_L_02-24.png?itok=LU-j54sp, Edgar Chairez," ""Pitbull """, Kevin Borjas, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-05/BORJAS_KEVIN_R_05-04.png?itok=-IBaB3kz," ""El Gallo Negro"""
2,31, None, Flyweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-02/RODRIGUEZ_RONALDO_L_02-24.png?itok=ursu3J56, Ronaldo Rodriguez," ""Lazy Boy """, Ode Osbourne, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-03/OSBOURNE_ODE_R_03-16.png?itok=W61Ppetc," ""The Jamaican Sensation"""
2,32, None, Women's Strawweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-02/JAUREGUI_YAZMIN_L_02-24.png?itok=JMfE_ZWr, Yazmin Jauregui, , Ketlen Souza, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-04/SOUZA_KETLEN_R_04-27.png?itok=GV3ZW10G," ""Esquentadinha"""
2,33, None, Lightweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-02/ZELLHUBER_DANIEL_L_02-24.png?itok=9AlRYtfm, Daniel Zellhuber," ""Golden Boy""", Esteban Ribovics, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-07/RIBOVICS_ESTEBAN_R_07-08.png?itok=3V47dvLq," ""El Gringo"""
3,34, None, Lightweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-02/MOICANO_RENATO_L_02-03.png?itok=8XEMfhSX, Renato Moicano, , Benoît Saint Denis, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-03/SAINT_DENIS_BENOIT_R_03-09.png?itok=Ipuwd7qx," ""God of War"""
3,35, None, Middleweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-02/IMAVOV_NASSOURDINE_L_02-03.png?itok=A-lUISjX, Nassourdine Imavov, , Brendan Allen, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-01/ALLEN_BRENDAN_R_11-18.png?itok=0m2Rh9UN," ""All In"""
