First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,SLpM,Str.Acc,SApM,Str.Def,TD Avg,TD Acc,TD Def,Sub. Avg,Total Fights,Weight Class,Fighter_ID
JungHyun,Lee,The Phenom,"5' 5""",125 lbs.,"65.0""",Orthodox,8,1,0,0,4.27,39%,6.20,38%,0.00,0%,64%,0.0,9,FlyWeight,2080
ChangHo,Lee,,"5' 8""",135 lbs.,"69.0""",Orthodox,9,1,0,0,4.30,69%,1.03,47%,4.30,35%,25%,0.0,10,BantamWeight,2081
Ricky,Legere Jr.,IE Bad Boy,"5' 8""",170 lbs.,--,,14,4,0,0,1.07,41%,1.53,60%,5.00,41%,0%,0.0,18,WelterWeight,2082
Sherron,Leggett,Rob Roy,"5' 8""",155 lbs.,--,Southpaw,21,6,0,0,2.86,51%,2.08,47%,5.19,80%,33%,0.0,27,LightWeight,2083
Cheyden,Leialoha,Steadfast,"5' 8""",135 lbs.,"73.0""",Orthodox,6,0,0,0,1.87,28%,3.20,53%,2.00,33%,71%,0.0,6,BantamWeight,2084
Claudia,Leite,,"5' 3""",135 lbs.,"64.0""",Orthodox,8,3,0,0,1.27,47%,1.73,57%,1.00,25%,0%,1.0,11,BantamWeight,2085
Thales,Leites,,"6' 1""",185 lbs.,"78.0""",Orthodox,28,9,0,0,2.13,40%,2.99,52%,2.10,27%,30%,1.1,37,MiddleWeight,2086
Stefan,Leko,Blitz,"6' 2""",215 lbs.,--,Orthodox,0,3,0,0,2.40,43%,6.17,68%,0.00,0%,0%,0.0,3,HeavyWeight,2087
Gabe,Lemley,,"5' 8""",155 lbs.,--,Orthodox,13,9,0,0,0.82,35%,6.03,45%,0.00,0%,0%,0.0,22,LightWeight,2088
Amanda,Lemos,,"5' 4""",115 lbs.,"65.0""",Southpaw,14,3,1,0,3.43,54%,4.21,44%,0.98,63%,57%,0.7,18,StrawWeight,2089
Giacomo,Lemos,,"6' 3""",247 lbs.,"75.0""",Orthodox,6,0,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,6,HeavyWeight,2090
Christophe,Leninger,,"6' 0""",200 lbs.,--,Southpaw,3,4,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,7,LightHeavyWeight,2091
Jesse,Lennox,The Ox,"5' 9""",170 lbs.,"72.0""",Orthodox,14,4,0,0,2.69,32%,3.20,64%,1.22,66%,63%,0.3,18,WelterWeight,2092
Jean Francois,Lenogue,,"6' 0""",185 lbs.,--,Orthodox,16,17,3,0,1.13,34%,0.27,60%,0.00,0%,33%,0.0,36,MiddleWeight,2093
Nik,Lentz,The Carny,"5' 8""",145 lbs.,"68.0""",Orthodox,30,12,2,0,3.44,47%,3.25,50%,3.30,32%,43%,1.2,44,FeatherWeight,2094
Alberta Cerra,Leon,,"5' 8""",238 lbs.,--,,0,1,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,1,HeavyWeight,2095
Victoria,Leonardo,Fury,"5' 5""",125 lbs.,"64.0""",Orthodox,9,6,0,0,3.27,39%,4.70,46%,1.60,27%,71%,0.0,15,FlyWeight,2096
Anthony,Leone,,"5' 6""",135 lbs.,--,Orthodox,15,8,0,0,1.94,53%,2.52,56%,1.72,18%,0%,0.0,23,BantamWeight,2097
Chad,Leonhardt,The Boss,"6' 0""",170 lbs.,--,,9,4,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,13,WelterWeight,2098
Kimo,Leopoldo,,"6' 3""",235 lbs.,--,Orthodox,10,7,1,0,0.76,83%,2.12,30%,4.55,100%,0%,2.3,18,HeavyWeight,2099
Michael,Lerma,,--,--,--,,0,1,0,0,0.00,0%,6.47,45%,0.00,0%,0%,0.0,1,HeavyWeight,2100
Lukasz,Les,,--,170 lbs.,--,,8,3,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,11,WelterWeight,2101
Brock,Lesnar,,"6' 3""",265 lbs.,"81.0""",Orthodox,5,3,0,0,3.53,72%,2.11,50%,3.90,55%,60%,0.5,8,HeavyWeight,2102
Frank,Lester,,"5' 11""",170 lbs.,--,Orthodox,11,6,0,0,2.18,36%,3.82,53%,0.00,0%,0%,0.0,17,WelterWeight,2103
Valerie,Letourneau,Trouble,"5' 7""",115 lbs.,"68.0""",Orthodox,8,6,0,0,4.51,37%,5.40,58%,0.77,45%,66%,0.3,14,StrawWeight,2104
Leah,Letson,Nidas,"5' 7""",145 lbs.,"71.0""",Southpaw,5,3,0,0,3.06,41%,3.84,52%,0.51,50%,76%,0.0,8,FeatherWeight,2105
Justin,Levens,The Executioner,"5' 11""",185 lbs.,--,Orthodox,10,7,0,0,1.24,47%,3.15,37%,1.69,50%,33%,5.1,17,MiddleWeight,2106
Marcus,LeVesseur,The Prospect,"5' 9""",155 lbs.,"70.0""",Southpaw,22,7,0,0,2.55,64%,3.70,37%,3.89,36%,83%,0.6,29,LightWeight,2107
David,Levicki,,"6' 5""",275 lbs.,--,,1,3,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,4,HeavyWeight,2108
Kyle,Levinton,,--,--,--,,0,3,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,3,HeavyWeight,2109
Natan,Levy,Lethal,"5' 9""",155 lbs.,"71.0""",Southpaw,8,2,0,0,3.70,52%,3.19,58%,5.03,58%,41%,0.5,10,LightWeight,2110
John,Lewis,,"6' 0""",155 lbs.,--,Southpaw,3,4,3,0,0.00,0%,4.00,66%,0.00,0%,0%,0.0,10,LightWeight,2111
Derrick,Lewis,The Black Beast,"6' 3""",260 lbs.,"79.0""",Orthodox,28,12,0,0,2.48,50%,2.48,40%,0.57,26%,52%,0.0,40,HeavyWeight,2112
Bevon,Lewis,,"6' 3""",185 lbs.,"79.0""",Orthodox,7,3,0,0,3.73,43%,2.67,54%,0.00,0%,66%,0.0,10,MiddleWeight,2113
Brandon,Lewis,,"5' 4""",135 lbs.,"70.0""",Orthodox,6,2,0,0,2.17,29%,3.63,53%,1.00,15%,20%,0.0,8,BantamWeight,2114
Malik,Lewis,Hard Knock,"6' 0""",155 lbs.,"75.0""",Orthodox,6,2,0,0,4.16,45%,5.66,40%,3.98,40%,50%,0.0,8,LightWeight,2115
